class,x1,x2
1,1.093994024,0.190081078
1,0.814768277,0.174076767
1,0.996066461,0.155275699
1,0.804844487,0.220578276
1,0.820221986,0.253063304
1,0.69328398,0.167951533
1,0.886469975,0.252416341
1,1.090874041,0.315280922
1,1.018077359,0.200267589
1,0.803058851,0.165573662
1,1.078103093,0.27661671
1,1.171066625,0.283167643
1,0.837514604,0.197264885
1,0.787866896,0.227248612
1,0.986998961,0.225950154
1,1.02443371,0.165175767
1,0.992070397,0.256035867
1,0.862377761,0.140612377
1,0.740881429,0.174137885
1,1.092443323,0.307932055
1,1.01656117,0.291138916
1,0.883675431,0.165462343
1,1.168393842,0.455627417
1,0.949963881,0.240033231
1,0.87317909,0.191889872
1,1.017906025,0.286024282
1,0.942968266,0.167153613
1,0.823733115,0.098199488
1,0.768932002,0.098948675
1,1.061080762,0.324291623
1,1.015892501,0.205637787
1,0.835343926,0.196981775
1,0.950423473,0.137703131
1,1.034139349,0.276522384
1,0.628864757,0.056310514
1,1.058852801,0.300951133
1,1.03660417,0.326282481
1,0.830539156,0.299944222
1,0.913888869,0.262513998
1,0.997159668,0.359552774
1,1.232281117,0.290989786
1,0.955722178,0.26451794
1,0.764575804,0.212166068
1,0.888954239,0.179031245
1,0.947732525,0.20914489
1,0.813634532,0.034227926
1,0.908473482,0.231857934
1,0.819746819,0.152458661
1,0.946617293,0.118498509
1,0.855410937,0.296678721
1,0.8590235,0.235852757
1,0.703895307,0.202877628
1,0.525207437,0.143317112
1,1.060631945,0.217523574
1,1.102842077,0.295305058
1,0.859626548,0.123662136
1,0.922958776,0.393934569
1,0.918039695,0.221633574
1,0.895225651,0.300309493
1,1.034294726,0.22842952
1,0.959402301,0.108479234
1,0.94140523,0.169086137
1,0.993283151,0.320748203
1,1.006710763,0.235938899
1,0.975529537,0.17954907
1,1.00876794,0.254072998
1,0.988604345,0.294864045
1,0.866891313,0.213509543
1,1.135281228,0.235690698
1,1.083697611,0.343284714
1,0.757981409,0.187685816
1,1.120151717,0.303729983
1,0.756838611,0.226509872
1,0.962544062,0.252190188
1,1.005112268,0.311297566
1,0.96271191,0.180263842
1,0.724076969,0.232175853
1,0.620791258,0.059511276
1,0.918114675,0.249892724
1,0.817517352,0.134576314
1,1.063662203,0.313051423
1,1.109674003,0.283337607
1,1.084791175,0.24305929
1,1.140332176,0.246814374
1,0.727566864,0.221560731
1,1.123798312,0.441233808
1,1.003125805,0.285456285
1,0.839018413,0.177957387
1,1.103245769,0.420946517
1,0.962888725,0.270239518
1,1.01216208,0.267620552
1,0.686144065,0.0776694
1,0.888734996,0.245067171
1,0.975027766,0.159076957
1,0.83129811,0.297404171
1,1.036825825,0.159942764
1,0.92186687,0.222391804
1,0.882200962,0.235630142
1,0.91220246,0.132237986
1,0.824716827,0.161584401
1,1.001443707,0.2403412
1,0.999431411,0.118094591
1,0.932415179,0.221262674
1,0.957280191,0.169184015
1,0.979279257,0.198521535
1,0.992942416,0.272360171
1,1.183580008,0.250983701
1,0.768183272,0.214920716
1,0.929969805,0.248928282
1,0.574347771,0.160691
1,1.138597069,0.405058791
1,0.925108943,0.244642352
1,0.806656505,0.163027552
1,0.792983009,0.1839351
1,0.851621048,0.290528088
1,0.882591136,0.256208733
1,0.838776401,0.296402666
1,0.897683799,0.155759415
1,1.020214778,0.255814955
1,0.982255508,0.285510733
1,0.769489549,0.156266178
1,0.768549293,0.230578612
1,0.674400966,0.163535051
1,1.013337016,0.302254726
1,0.959479022,0.171823388
1,0.825665963,0.225107994
1,0.888418931,0.266391586
1,0.776007864,0.24175036
1,1.029806454,0.305599598
1,0.940607015,0.179124889
1,1.068130084,0.288284679
2,0.714851196,0.801038704
2,0.746880238,0.77386804
2,0.764592511,0.771788045
2,0.812364254,0.718782178
2,0.809096048,0.757010656
2,0.820250502,0.610935042
2,0.754998186,0.769888575
2,0.744356076,0.783160528
2,0.731019506,0.928165702
2,0.766335291,0.782176769
2,0.757816424,0.818423134
2,0.808749064,0.731673253
2,0.702664269,0.728125267
2,0.762350807,0.704417067
2,0.765617476,0.707114715
2,0.761910871,0.771091225
2,0.748699116,0.778247974
2,0.809260688,0.676071127
2,0.770712816,0.813712671
2,0.696898508,0.831603605
2,0.724147487,0.74803749
2,0.769583258,0.916632984
2,0.756546692,0.684671962
2,0.756580278,0.792847269
2,0.790069466,0.763733825
2,0.731472204,0.830552785
2,0.747209921,0.788140938
2,0.755924446,0.873814642
2,0.69867167,0.71100952
2,0.77764765,0.789967613
2,0.742665047,0.79273672
2,0.739680549,0.831557758
2,0.771245895,0.748461485
2,0.684776993,0.728235067
2,0.803670417,0.692984311
2,0.761538458,0.807681512
2,0.741426975,0.848269893
2,0.831569265,0.760109982
2,0.731766704,0.813927855
2,0.769008567,0.683525519
2,0.764198828,0.847252733
2,0.789764922,0.713170246
2,0.806093322,0.724194401
2,0.755187122,0.763442944
2,0.737612884,0.843587266
2,0.744192159,0.813846508
2,0.746961196,0.760419176
2,0.766272624,0.695456907
2,0.784242712,0.709587984
2,0.792149518,0.681168734
2,0.775573702,0.783658551
2,0.765422972,0.750399247
2,0.778566484,0.826014668
2,0.773418511,0.771041754
2,0.765368178,0.813408799
2,0.775729145,0.658944972
2,0.748444056,0.782448939
2,0.752421236,0.883853717
2,0.72723274,0.736839287
2,0.76413537,0.851291228
2,0.787287004,0.652412493
2,0.780996887,0.693056895
2,0.737014236,0.870363121
2,0.792238097,0.681533353
2,0.761340665,0.764751803
2,0.774930842,0.820233086
2,0.805605985,0.604363855
2,0.746547164,0.789953904
2,0.832112166,0.659245417
2,0.763373844,0.772443713
2,0.728145555,0.75782442
2,0.75128761,0.93422934
2,0.721506578,0.775460574
2,0.763430068,0.739910777
2,0.779311317,0.826910604
2,0.687625562,0.835090111
2,0.844700906,0.699829701
2,0.747777415,0.828718224
2,0.719088006,0.75769985
2,0.842848852,0.65505885
2,0.711585981,0.867888047
2,0.808961975,0.754344591
2,0.73332648,0.714118884
2,0.774199182,0.865684265
2,0.774923187,0.69594386
2,0.72141205,0.782978933
2,0.730862886,0.853822798
2,0.754922068,0.673838417
2,0.816308757,0.728575408
2,0.796628877,0.703229022
2,0.750862353,0.7471572
2,0.676590263,0.868017703
2,0.731145498,0.746951216
2,0.673555471,0.88371063
2,0.842148648,0.699856154
2,0.783589894,0.704883551
2,0.743907044,0.885685301
2,0.723862847,0.815147317
2,0.778779497,0.896393447
2,0.812038013,0.729589564
2,0.699179843,0.802756648
2,0.77277439,0.585606773
2,0.763594876,0.769784728
2,0.684299247,0.871463658
2,0.787272073,0.763917494
2,0.728823178,0.788594235
2,0.757771848,0.692316064
2,0.754936594,0.759746365
2,0.711140352,0.913223282
2,0.792885004,0.753954795
2,0.786585206,0.752224302
2,0.765004041,0.665886351
2,0.790889618,0.707037908
2,0.723617495,0.93689369
2,0.813673876,0.741477957
2,0.752467864,0.815014029
2,0.764804274,0.78179491
2,0.792438654,0.780352922
2,0.807472927,0.806954426
2,0.78186568,0.66021757
2,0.741411077,0.799037172
2,0.762791061,0.70158243
2,0.734605029,0.765151277
2,0.716123344,0.828722405
2,0.793018679,0.67546763
2,0.708862608,0.892226165
2,0.784431702,0.76425144
2,0.72660428,0.855159445
2,0.767487155,0.806801556
2,0.794190055,0.7763519
2,0.703442405,0.952239895
2,0.753974361,0.789273762
2,0.81786092,0.770292973
2,0.695477012,0.808026483
2,0.827895563,0.679349191
2,0.694041495,0.843322126
2,0.76723901,0.852179865
2,0.717503689,0.73697909
2,0.760292518,0.738532661
2,0.712145358,0.714203733
2,0.778157071,0.669140277
2,0.773628429,0.634549236
2,0.774399332,0.782225023
2,0.782375948,0.747692288
2,0.733390466,0.811122383
2,0.735148202,0.743260331
2,0.758732541,0.846954763
2,0.811656824,0.703180983
2,0.737854513,0.801296909
2,0.756048373,0.869158071
2,0.700338787,0.873176133
3,0.366972755,0.688781162
3,0.324309055,0.736317136
3,0.393372936,0.676306877
3,0.356476037,0.734491221
3,0.347051892,0.620246275
3,0.455214758,0.725654765
3,0.531031886,0.764806105
3,0.439951255,0.866666584
3,0.610326045,0.72996378
3,0.382858347,0.832788963
3,0.321997919,0.789000946
3,0.323593309,0.682192849
3,0.3494719,0.749153137
3,0.511306785,0.861153064
3,0.316035757,0.67062207
3,0.478500892,0.727262169
3,0.503326793,0.689545312
3,0.38041085,0.842798125
3,0.446736968,0.839962433
3,0.257652843,0.75556218
3,0.31481815,0.693308115
3,0.349534285,0.587580189
3,0.481612664,0.67297577
3,0.395521334,0.770442522
3,0.476183511,0.739843892
3,0.575378313,0.64667742
3,0.420067159,0.746141728
3,0.420774826,0.871837748
3,0.410757261,0.720049769
3,0.396907238,0.948221104
3,0.464077492,0.676954003
3,0.506763889,0.666802193
3,0.440333938,0.685588688
3,0.460221871,0.83500031
3,0.436500669,0.776399947
3,0.414795574,0.796199803
3,0.488693208,0.706144598
3,0.333505858,0.737888119
3,0.394691985,0.799152041
3,0.426277698,0.617539119
3,0.411463079,0.598079193
3,0.432374789,0.706019248
3,0.438634137,0.618216745
3,0.481678027,0.749278336
3,0.442863891,0.633949105
3,0.387325104,0.732659861
3,0.499017354,0.795098089
3,0.290333021,0.773815677
3,0.380481129,0.691745639
3,0.312731373,0.799802099
3,0.38487778,0.806867822
3,0.421795125,0.721519027
3,0.373877801,0.875760194
3,0.351624582,0.678967725
3,0.374769503,0.749434966
3,0.419049925,0.870031261
3,0.3850908,0.637571195
3,0.49068927,0.739737061
3,0.408607706,0.779210981
3,0.456830302,0.691776888
3,0.50406343,0.779003638
3,0.413338489,0.81403839
3,0.437384013,0.739983594
3,0.476645508,0.686063808
3,0.378957845,0.696759486
3,0.410109937,0.845101978
3,0.352262941,0.730738119
3,0.440248245,0.683187135
3,0.447851772,0.656344827
3,0.357070871,0.741040482
3,0.411610488,0.686620251
3,0.394260442,0.707702165
3,0.37544998,0.731952908
3,0.376280228,0.728772836
3,0.449174726,0.730165291
3,0.579335662,0.834442273
3,0.443481395,0.709842069
3,0.38833108,0.70883265
3,0.367140753,0.78677638
3,0.456561588,0.850227536
3,0.398807629,0.847819933
3,0.442914529,0.833533557
3,0.32827121,0.675490308
3,0.470699108,0.693155461
3,0.473581167,0.702922808
3,0.422184538,0.833542299
3,0.410904995,0.81094896
3,0.370619014,0.736512592
3,0.475367888,0.795356427
3,0.361212072,0.764850632
3,0.45030455,0.778077523
3,0.464186378,0.759653693
3,0.494453435,0.858722772
3,0.351558904,0.665374626
3,0.419432888,0.855398954
3,0.484155705,0.703000266
3,0.436240441,0.791706135
3,0.460577006,0.689828013
3,0.47206967,0.831090666
3,0.464759324,0.787278942
3,0.375017766,0.620611229
3,0.405962018,0.774061802
3,0.476622688,0.746097093
3,0.383975646,0.825431945
3,0.503929444,0.802718599
3,0.433730224,0.777796013
3,0.450999589,0.771007183
3,0.435171943,0.725842977
3,0.373549201,0.696250722
3,0.355341122,0.672635659
3,0.448066915,0.77778997
3,0.426770141,0.873841782
3,0.50397652,0.841228624
3,0.376005002,0.684732685
3,0.384794452,0.578332975
3,0.579640166,0.712653336
3,0.398469936,0.754030467
3,0.455578455,0.687624767
3,0.374147084,0.702848856
3,0.391565852,0.790414154
3,0.487213353,0.719102432
3,0.349125309,0.861463598
3,0.410557175,0.65332783
3,0.400735853,0.736500253
3,0.507293848,0.607148822
3,0.468014548,0.690594587
3,0.43733074,0.811240324
3,0.376087372,0.727440169
3,0.384290252,0.660662746
3,0.444332461,0.680264387
3,0.484349858,0.757225684
3,0.421446993,0.765328764
3,0.386362424,0.662143329
3,0.42827407,0.747524049
3,0.352840033,0.75730535
3,0.362489887,0.687072545
3,0.345130202,0.888228945
3,0.47005625,0.760284751
3,0.454265311,0.761486362
3,0.443952863,0.803932049
3,0.357570142,0.745783944
3,0.360824767,0.658848108
3,0.481861974,0.721484162
3,0.431855409,0.756594104
3,0.373143296,0.84196237
3,0.471802124,0.801882631
3,0.347416903,0.764952709
3,0.443216497,0.839191231
3,0.445556894,0.661071108
3,0.374373445,0.820966392
3,0.498599367,0.761113477
3,0.398865876,0.530187307
3,0.471053408,0.851312785
3,0.574095845,0.687645657
3,0.374599826,0.685559655
3,0.344808222,0.837979258
3,0.403751693,0.663101233
3,0.353364899,0.757687937
3,0.521059787,0.811848848
3,0.397033519,0.938962216
3,0.373903233,0.88701729
3,0.387716831,0.54699701
3,0.452529534,0.792183564
3,0.408284459,0.650804926
3,0.395765504,0.754989699
3,0.426989926,0.667959661
3,0.404819813,0.638518166
3,0.398669888,0.919203839
3,0.426875685,0.582280151
3,0.332873213,0.666772356
3,0.422121501,0.814979264
3,0.536187533,0.6883227
3,0.388713925,0.712284909
3,0.375933439,0.751505967
3,0.436115333,0.671904458
3,0.36568447,0.869011586
3,0.390193293,0.834202636
3,0.399246553,0.736164564
3,0.386596426,0.622868683
3,0.389602615,0.761808094
3,0.350969178,0.740842776
3,0.480765397,0.874629417
3,0.407127639,0.71805127
3,0.442959187,0.745803
3,0.387104769,0.747273384
3,0.408757943,0.609954776
3,0.355727796,0.785565678
3,0.458713083,0.590275279
3,0.569448577,0.752432407
3,0.457606891,0.778114996
3,0.407516577,0.904929821
3,0.319978482,0.696646127
3,0.349306974,0.698893137
3,0.439903603,0.918606568
3,0.450751745,0.759054749
3,0.38121129,0.663840092
3,0.58860759,0.778111027
3,0.57265418,0.811930209
3,0.359946905,0.727635112
3,0.493189085,0.73118517
3,0.349476812,0.82777552
3,0.419672337,0.68197176
3,0.46607368,0.573151985
3,0.426193854,0.725998284
3,0.392379676,0.780305741
3,0.414394115,0.605867467
3,0.409240147,0.640290009
3,0.385619966,0.672228756
3,0.464064679,0.783440597
3,0.334574519,0.758034216
3,0.397468263,0.743078081
3,0.499530709,0.752060572
3,0.464533635,0.606875215
3,0.428187097,0.715687137
3,0.442458469,0.655346026
3,0.514942311,0.871450911
3,0.568343781,0.734502114
3,0.405575599,0.621275659
